经度        纬度         深度       速度
  113.920   40.100    0.000    1.001
  113.920   40.090    0.000    1.001
  113.920   40.080    0.000    1.000
  113.920   40.070    0.000    0.999
  113.920   40.060    0.000    0.997
  113.920   40.050    0.000    0.995
  113.920   40.040    0.000    0.995
  113.920   40.030    0.000    0.998
  113.920   40.020    0.000    1.021
  113.920   40.010    0.000    1.090
  113.920   40.000    0.000    1.595
  113.920   39.990    0.000    1.768
  113.920   39.980    0.000    1.111
  113.920   39.970    0.000    0.500
  113.920   39.960    0.000    1.890
  113.920   39.950    0.000    0.781
  113.920   39.940    0.000    0.500
  113.920   39.930    0.000    1.181
  113.920   39.920    0.000    1.005
  113.920   39.910    0.000    1.002
  113.920   39.900    0.000    1.002
  113.920   39.890    0.000    1.001
  113.920   39.880    0.000    1.000
  113.920   39.870    0.000    1.000
  113.940   40.200    0.000    1.000
  113.940   40.190    0.000    1.000
  113.940   40.180    0.000    1.000
  113.940   40.170    0.000    1.000
  113.940   40.160    0.000    1.000
  113.940   40.150    0.000    1.000
  113.940   40.140    0.000    1.000
  113.940   40.130    0.000    1.000
  113.940   40.120    0.000    1.000
  113.940   40.110    0.000    1.001
  113.940   40.100    0.000    1.001
  113.940   40.090    0.000    1.001
  113.940   40.080    0.000    1.001
  113.940   40.070    0.000    1.000
  113.940   40.060    0.000    0.999
  113.940   40.050    0.000    0.999
  113.940   40.040    0.000    0.999
  113.940   40.030    0.000    1.004
  113.940   40.020    0.000    1.015
  113.940   40.010    0.000    1.021
  113.940   40.000    0.000    0.718
  113.940   39.990    0.000    0.500
  113.940   39.980    0.000    0.609
  113.940   39.970    0.000    0.500
  113.940   39.960    0.000    0.837
  113.940   39.950    0.000    0.500
  113.940   39.940    0.000    0.500
  113.940   39.930    0.000    0.668
  113.940   39.920    0.000    1.000
  113.940   39.910    0.000    1.003
  113.940   39.900    0.000    1.002
  113.940   39.890    0.000    1.001
  113.940   39.880    0.000    1.000
  113.940   39.870    0.000    1.000
  113.960   40.200    0.000    1.000
  113.960   40.190    0.000    1.000
  113.960   40.180    0.000    1.000
  113.960   40.170    0.000    1.000
  113.960   40.160    0.000    1.000
  113.960   40.150    0.000    1.000
  113.960   40.140    0.000    1.000
  113.960   40.130    0.000    1.000
  113.960   40.120    0.000    1.000
  113.960   40.110    0.000    1.000
  113.960   40.100    0.000    1.001
  113.960   40.090    0.000    1.001
  113.960   40.080    0.000    1.001
  113.960   40.070    0.000    1.000
  113.960   40.060    0.000    1.000
  113.960   40.050    0.000    1.000
  113.960   40.040    0.000    1.001
  113.960   40.030    0.000    1.003
  113.960   40.020    0.000    1.009
  113.960   40.010    0.000    1.015
  113.960   40.000    0.000    0.926
  113.960   39.990    0.000    0.550
  113.960   39.980    0.000    0.500
  113.960   39.970    0.000    0.500
  113.960   39.960    0.000    0.771
  113.960   39.950    0.000    1.031
  113.960   39.940    0.000    0.500
  113.960   39.930    0.000    0.798
  113.960   39.920    0.000    1.001
  113.960   39.910    0.000    1.003
  113.960   39.900    0.000    1.002
  113.960   39.890    0.000    1.001
  113.960   39.880    0.000    1.000
  113.960   39.870    0.000    1.000
  113.980   40.200    0.000    1.000
  113.980   40.190    0.000    1.000
  113.980   40.180    0.000    1.000
